Column,layerid,title,description,layertype,creator,format,date,desc_date,place,subject,bbox
11,vector_restricted:KNG_FSH9,"King County, Washington : Water Resource Inventory Area 9 salmon distribution","King County, Washington distribution of 7 salmon species in Water Resource Inventory Area (WRIA) 9 streams, 5 presence classes.",Line,King County (Wash.),Shapefile,2001,2005-2009,Washington,Municipal,"ENVELOPE(-122.396166, -121.305009, 47.598887, 47.130918)"
26,vector_public:AFRICOVER_SM_LNDCOV_GE,Somalia Landcover,"Somalia landcover from The Multipurpose Africover Database for the Environmental Resources produced by the Food and Agriculture Organization of the United Nations (FAO). Scale of the dataset: 1:200,000. The land cover has been produced from visual interpretation of digitally enhanced LANDSAT TM images (Bands 4,3,2) acquired mainly from 1995 - 1998. The land cover classes have been developed using the FAO/UNEP international standard LCCS classification system.",Polygon,Food and Agriculture Organization of the United Nations,Shapefile,2002,2005-2009,Somalia,Land use,"ENVELOPE(40.988628, 51.412724, 11.992188, -1.66719)"
30,vector_restricted:KNG_PLNTWW,"King County, Washington : regional wastewater treatment plants","King County, Washington regional wastewater treatment plants.",Point,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.610896, -121.770357, 48.246059, 47.183208)"
31,vector_public:GLB_HYDBAS,Global GIS : Drainage Basins,"This datalayer is a polygon coverage representing hydrologic drainage basins located worldwide. The data displayed here is derived from the HYDRO 1K Elevation Derivative Database. The drainage basins distributed with the HYDRO1k data set suite are derived using the vector stream networks along with the flow direction data set. Each polygon in the basin data set has been tagged with a Pfafstetter code uniquely identifying each sub-basin. HYDRO1k, developed at the U.S. Geological Survey's (USGS) EROS Data Center, is a geographic database providing comprehensive and consistent global coverage of topographically derived data sets. Developed from the USGS' recently released 30 arc-second digital elevation model (DEM) of the world (GTOPO30), HYDRO1k provides a standard suite of geo-referenced data sets (at a resolution of 1 km) that will be of value for all users who need to organize, evaluate, or process hydrologic information on a continental scale.",Polygon,EROS Data Center,Shapefile,2003,2005-2009,Earth,Hydrology,"ENVELOPE(-179.999347, 179.999, 83.217361, -59.484882)"
34,vector_restricted:ESRI08EURRAILS,Europe Railroads : ESRI Data & Maps 2008,Europe Railroads contains the railroads in Europe.,Line,AND International Publishers N.V.,Shapefile,2006,2005-2009,Europe,Railroads,"ENVELOPE(-9.863300000000001, 65.096, 69.7229, 36.1236)"
35,vector_restricted:ARCCENSUS9,Atlanta Regional Commission 1990 Census Tracts,"This polygon datalayer depicts 1990 census tract level boundaries with associated census attribute data for the Atlanta Regional Commission's (ARC) 10-county region. Data displayed here was derived from the US Census Bureau 1990 TIGER files. ARC documentation states that: 'Please note, a limited number of 'sliver' tracts were merged with other tracts resulting in a total of 417 census tracts for the Atlanta Region. The Census Bureau published data for 424 tracts including tracts 239.98, 316.97, 316.98, 508.98, 807.97, 807.98 and 912.98. These additional seven tracts resulted from the correction of pre-census mapping errors and fall below the Census Bureau's minimum size standards. Consequently, ARC has incorporated these non-standard tracts into adjacent tracts: 239.98 into 234.05; 316.97 into 313.04; 316.98 into 301.98; 508.98 into 504.06; 807.97 into 801.98; 807.98 into 803.00; and 912.98 into 911.03. Also, due to the fact that the Census Bureau reused the 1980 census tract 303.02 erroneously, ARC instead uses the number 303.08 to correctly refer to this tract and to emphasize that it is a new census tract with no geography in common with 1980 census tract 303.02. In terms of attributes for ARC's 417 census tracts, a number of variables have been extracted from the Census Bureau's Summary Tape Files (STF) for this Theme. In addition, selected demographic data has been included by ARC's Research Division through their annual work on employment and population estimates and forecasts. ARC is the source for all the employment data associated with this theme. The source for population, households, and housing unit data is either the Census Bureau or ARC; source by variable is noted in the variable definitions below. It should be clearly noted that the 2000 population and housing unit estimates appearing in this database file are the result of ARC estimates; they are not 2000 Census counts.",Polygon,Atlanta Regional Commission (ARC),Shapefile,1990,2005-2009,Atlanta,boundaries,"ENVELOPE(-84.911057, -83.798904, 34.41259, 33.256512)"
57,vector_restricted:ESRIEURRAILS,ESRI Data & Maps 2000 : Europe Railroads,Europe Railroads represents the railroads of Europe.,Line,"AND Data Solutions, B.V.",Shapefile,1999,2005-2009,Europe,Railroads,"ENVELOPE(-9.868500000000001, 66.4683, 69.725, 36.1245)"
64,vector_restricted:KNG_SWRDIV,"King County, Washington : sewer basin major divisions","King County, Washington Water Pollution Control Division (WPCD) defined boundaries for sewer basin major divisions. Covers also portions of Snohomish and Pierce Counties. Derived from the King County Wastewater Treatment Division's sewer flow basins coverage.",Polygon,King County (Wash.). Wastewater Treatment Division,Shapefile,2001,2005-2009,Washington,Municipal,"ENVELOPE(-122.723622, -121.958748, 48.021536, 47.024274)"
87,vector_restricted:ESRI05USBLKPOP_SD,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : South Dakota,U.S. Census Block Centroid Populations : South Dakota represents the population of the U.S. Census block centroids for the state of South Dakota. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2000,2005-2009,South Dakota,Census,"ENVELOPE(-104.055193, -96.443954, 45.945125, 42.48333)"
89,vector_restricted:ESRI06USBLKPOP_MS,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Mississippi,U.S. Census Block Centroid Populations : Mississippi represents the populations of the U.S. Census blocks for the state of Mississippi. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2004,2005-2009,Mississippi,Census,"ENVELOPE(-91.60431, -88.100657, 34.995947, 30.177896)"
103,vector_restricted:ESRI06USTRANTERM,ESRI Data & Maps 2006 : U.S. Transportation Terminals,"U.S. Transportation Terminals represents locations within United States for transportation terminals such as bus stations, train stations, marine terminals, and other significant transportation nodes.",Point,"Tele Atlas North America, Inc.",Shapefile,2006,2005-2009,United States,Terminals (Transportation),"ENVELOPE(-166.498692, -65.302143, 61.122378, 18.152193)"
104,vector_restricted:BRLTREES,Street Trees (Town of Brookline),"The Street Trees layer is a point coverage inventory of each street tree in the Town of Brookline. Attributes described include species, diameter, condition, management need, growing conditions, predominant root zone cover, presence of utility or power lines, location (on the street or in a park), etc. The Brookline Street Tree Inventory was initially conducted in 1994 as a cooperative project of the University of Massachusetts at Amherst, U.S. Forest Service, Massachusetts Department of Environmental Management, and the Town of Brookline; other supporting organizations include the Harvard University Arnold Arboretum and the Brookline Green Space Alliance. The Town agencies involved in the project include the Conservation Commission, Tree Planting Committee, and the Department of Public Works. This project, thought to be the first comprehensive municipal street tree inventory based on GIS, recruited and trained over 100 citizens to perform the inventory. Teams of volunteers were assigned areas of the town in which to locate each street tree on the Town's Assessor's Maps for digitizing at a later time by UMass/Amherst.",Point,"Brookline GIS, Information Technologies Department",Shapefile,1994,2005-2009,Brookline,Municipal,"ENVELOPE(-71.175901, -71.106432, 42.351642, 42.29479)"
109,vector_public:TG95DEVOTPY,"Census Voting Districts, 1990 - Delaware","This datalayer displays the Voting Districts for the state of Delaware for 1990. A Voting District (VTD) is the generic name for a variety of geographic entities, such as precincts, legislative districts, wards, and election districts, established by state, local, and tribal governments for the purpose of conducting elections. The U.S. Census Bureau first reported data for VTDs following the 1980 census. The 1990 census term voting district replaces the 1980 term election precinct. Because the U.S. Census Bureau requires that VTDs follow boundaries of census blocks, participating states often adjusted the boundaries of the VTDs they submit to conform to pre-established census block boundaries.",Polygon,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1990,2005-2009,Delaware,boundaries,"ENVELOPE(-75.788758, -75.048413, 39.839007, 38.451013)"
