Column,layerid,title,description,layertype,creator,format,date,desc_date,place,subject,bbox
1,vector_restricted:EURATLAS_1ST_LEVEL_DIV_1200,"First-level Administrative Divisions, Europe, Year 1200","This shapefile represents 1st-level administrative divisions of sovereign states for Europe for the year 1200. 1st level divisions are sub-parts of sovereign states but do not exist for all states. Depending on the year, existing 1st level divisions may include: Roman or civil dioceses, the Ottoman eyalets, the autonomous communities of Spain or the regions of France and Italy. Some states are composed of divisions of their own. For instance, the United Kingdom is divided into England, Northern Ireland, Scotland and Wales. Austria-Hungary is divided into Austrian Lands and Hungary while Bosnia was under common administration. For consistency reasons, these situations have been treated as if the state was divided in 1st level administrative divisions. This layer is part of the Euratlas Georeferenced Vector Data collection that is composed of 21 maps, one for each century from year 1 to year 2000. These maps depict the detailed political situation of Europe at the first day of each centennial year C.E. from year 1 to 2000. Each map is composed of two kinds of layers: physical features layers, such as seas and rivers, and political features layers, such as states and cities. Some layers also cover adjacent portions of North Africa and the Middle East.",Polygon,Euratlas-Nussli,Shapefile,1200,2010-2014,Europe,Boundaries,"ENVELOPE(3.137241, 18.533875, 54.308698, 42.3234)"
6,vector_public:FEMA_09_FLD_HAZ_AR_CT,"Flood Insurance Risk Zones, Connecticut, 2011","The flood insurance risk zone layer contains information about the flood hazards for Connecticut. These zones are used by the federal Emergency Management Agency (FEMA) to designate the Special Flood Hazard Area (SFHA) and for insurance rating purposes. These data are the flood hazard areas that are or will be depicted on the Flood Insurance Rate Map (FIRM). The spatial elements representing the flood zones are polygons. There is one polygon for each contiguous flood zone designated. This layer is part of the National Flood Hazard Layer dataset: The National Flood Hazard Layer (NFHL) data incorporates all Digital Flood Insurance Rate Map(DFIRM) databases published by FEMA, and any Letters Of Map Revision (LOMRs) that have been issued against those databases since their publication date. The DFIRM Database is the digital, geospatial version of the flood hazard information shown on the published paper Flood Insurance Rate Maps(FIRMs). The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The NFHL data are derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The specifications for the horizontal control of DFIRM data are consistent with those required for mapping at a scale of 1:12,000. The NFHL data contain layers in the Standard DFIRM datasets except for S_Label_Pt and S_Label_Ld. The NFHL is available as State or US Territory data sets. Each State or Territory data set consists of all DFIRMs and corresponding LOMRs available on the publication date of the data set.",Polygon,United States. Federal Emergency Management Agency,Shapefile,2011,2010-2014,Connecticut,Floods,"ENVELOPE(-73.727786, -72.305521, 42.048396, 40.979265)"
8,vector_public:USGS_HO_OLANCHITO_OLANFD,"Flood Depths, Olanchito, Honduras","Flood depth polygons for the 50-year flood, for Rio Uchapa, Olanchito, Honduras. Water-surface elevations for an estimated 50-year-flood discharge on Rio Uchapa at Olanchito were determined using HEC-RAS, a one-dimensional step-backwater computer program. The channel and floodplain cross section geometry used in HEC-RAS were developed from an airborne light detection and ranging (LIDAR) topographic survey of the area. The 50-year-flood discharge for Rio Uchapa, 243 cubic meters per second, was estimated using a regression equation that relates the 50-year-flood discharge to drainage area and mean annual precipitation. The area of inundation and depth of flood coverage was created with the HEC-RAS output and topographic TIN using HEC-geo-RAS software.",Polygon,Geological Survey (U.S.),Shapefile,2001,2010-2014,Honduras,Floods,"ENVELOPE(-86.56214, -86.551877, 15.497953, 15.474447)"
20,vector_public:FEMA_53_FLD_HAZ_AR_WA,"Flood Insurance Risk Zones, Washington, 2011","The flood insurance risk zone layer contains information about the flood hazards for Washington. These zones are used by the federal Emergency Management Agency (FEMA) to designate the Special Flood Hazard Area (SFHA) and for insurance rating purposes. These data are the flood hazard areas that are or will be depicted on the Flood Insurance Rate Map (FIRM). The spatial elements representing the flood zones are polygons. There is one polygon for each contiguous flood zone designated. This layer is part of the National Flood Hazard Layer dataset: The National Flood Hazard Layer (NFHL) data incorporates all Digital Flood Insurance Rate Map(DFIRM) databases published by FEMA, and any Letters Of Map Revision (LOMRs) that have been issued against those databases since their publication date. The DFIRM Database is the digital, geospatial version of the flood hazard information shown on the published paper Flood Insurance Rate Maps(FIRMs). The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The NFHL data are derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The specifications for the horizontal control of DFIRM data are consistent with those required for mapping at a scale of 1:12,000. The NFHL data contain layers in the Standard DFIRM datasets except for S_Label_Pt and S_Label_Ld. The NFHL is available as State or US Territory data sets. Each State or Territory data set consists of all DFIRMs and corresponding LOMRs available on the publication date of the data set.",Polygon,United States. Federal Emergency Management Agency,Shapefile,2011,2010-2014,Washington,Floods,"ENVELOPE(-123.333982, -117.039774, 49.002476, 46.040097)"
33,vector_public:CAMBRIDGE14DECKS,"Decks, Cambridge, Massachusetts, 2010 (pub. 2014)","This layer contains polygon features representing decks in Cambridge, Massachusetts, 2010",Polygon,Cambridge (Mass.). Geographic Information Systems,Shapefile,2010,2010-2014,"City of Cambridge, MA","Architecture, Domestic","ENVELOPE(-71.160875, -71.069576, 42.404339, 42.352998)"
49,vector_public:CAMBRIDGE14NHDCONSDIST,"Neighborhood Conservation Districts, Cambridge, Massachusetts, 2000 (pub. 2014)","This layer contains five polygons representing the city's Neighborhood Conservation Districts (NCDs). Conservation districts are groups of buildings and their surroundings that are architecturally and historically distinctive. Exterior changes to buildings within NCDs are subject to review by NCD commissions made up of residents appointed by the City Manager. The GIS data layer was created in 2000 from paper documents. Cambridge designated its first NCD in 1984, following City Council legislation the year before allowing NCD establishment.",Polygon,Cambridge (Mass.). Geographic Information Systems,Shapefile,2000,2010-2014,Massachusetts,Historic districts,"ENVELOPE(-71.13405, -71.099268, 42.388156, 42.366729)"
50,vector_restricted:MACON95_ALDEM_ZIP,"Alabama ZIP Code Demographics, 1995, MaconUSA","This dataset is a polygon layer providing boundary and demographic statistical data for 5-digit ZIP code areas for Alabama, 1995. The demographic data set includes attributes covering: age and sex distribution, ethnicity and ancestry, education, income, industry employment, household size, type of housing unit, home ownership, home value, and mortgage statistics, automobile ownership, and home heating fuel types. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Alabama,Zip codes,"ENVELOPE(-88.473067, -84.884399, 35.007938, 30.220649)"
52,vector_restricted:MACON95_USDEM_CNTY,"United States County-level Demographics, 1995, MaconUSA","This dataset is a polygon layer providing county-level boundary and demographic statistical data for the United States, 1995. The demographic data set includes attributes covering: age and sex distribution, ethnicity and ancestry, education, income, industry employment, household size, type of housing unit, home ownership, home value, and mortgage statistics, automobile ownership, and home heating fuel types. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,United States,Boundaries,"ENVELOPE(-179.144745, 179.781218, 71.383101, 18.913907)"
55,vector_public:CAMBRIDGE14PARCELSFY2014,"Parcels, Cambridge, Massachusetts, FY 2014",This polygon layer contains all of the property parcels in Cambridge. Each parcel has a unique Map and Lot ID number that links it to a record in the Assessing Department's Vision database system.,Polygon,Cambridge (Mass.). Geographic Information Systems,Shapefile,2014,2010-2014,Massachusetts,Tax assessment,"ENVELOPE(-71.160327, -71.065207, 42.403841, 42.351909)"
65,vector_public:USGS_GT_RETALHULEU_HYP,"Hypsography, Retalhuleu Region, Guatemala, 1988","Hypsography : marks of height above sea level (in meters) for the Retalhuleu region, Guatemala. This layer was vectorized from original hard copy 1:50,000 topographic maps produced from the early 1970s to the mid 1980s. Hurricane Mitch devastated Central America during the months of October-November of 1998. From 1998 to 2001 the US Geological Survey was involved along with other federal agencies in the reconstruction effort. The source CD consists of a compilation of GIS data layers and computer applications focused on hazard prevention and useful in municipal planning. Each dataset includes layers for a base area of one hundred square kilometers around the urban center of each municipality in the Hurricane Mitch project.",Point,Geological Survey (U.S.),Shapefile,1976,2010-2014,Guatemala,Altitudes,"ENVELOPE(-91.708374, -91.622574, 14.581782, 14.521153)"
